RFID GATES,PAPER GATES,RFID EMPLOYEES,PAPER EMPLOYEES,person,traffic status,gate_type,wait time
2,2,1,2,id_0,low,RFID,5.22
2,2,1,2,id_1,low,RFID,6.21
2,2,1,2,id_10,low,RFID,6.5
2,2,1,2,id_100,low,RFID,10.08
2,2,1,2,id_1000,high,paper,37.86
2,2,1,2,id_1001,high,RFID,554.5
2,2,1,2,id_1002,high,RFID,480.74
2,2,1,2,id_1003,high,paper,46.879999999999995
2,2,1,2,id_1004,high,RFID,486.01
2,2,1,2,id_1005,high,RFID,561.6500000000001
2,2,1,2,id_1006,high,RFID,489.22
2,2,1,2,id_1007,high,RFID,566.89
2,2,1,2,id_1008,high,RFID,570.04
2,2,1,2,id_1009,high,paper,43.42
2,2,1,2,id_101,low,RFID,10.7
2,2,1,2,id_1010,high,paper,44.14
2,2,1,2,id_1011,high,paper,47.07
2,2,1,2,id_1012,high,RFID,483.95
2,2,1,2,id_1013,high,RFID,492.67
2,2,1,2,id_1014,high,RFID,564.3
2,2,1,2,id_1015,high,paper,48.91
2,2,1,2,id_1016,high,RFID,567.9
2,2,1,2,id_1017,high,RFID,490.61
2,2,1,2,id_1018,high,paper,42.15
2,2,1,2,id_1019,high,RFID,490.99
2,2,1,2,id_102,low,RFID,7.36
2,2,1,2,id_1020,high,RFID,566.5899999999999
2,2,1,2,id_1021,high,RFID,570.8199999999999
2,2,1,2,id_1022,high,RFID,494.46999999999997
2,2,1,2,id_1023,high,paper,42.88
2,2,1,2,id_1024,high,RFID,575.7900000000001
2,2,1,2,id_1025,high,paper,41.89
2,2,1,2,id_1026,high,RFID,491.51
2,2,1,2,id_1027,high,RFID,571.42
2,2,1,2,id_1028,high,RFID,496.90999999999997
2,2,1,2,id_1029,high,RFID,579.48
2,2,1,2,id_103,low,RFID,11.17
2,2,1,2,id_1030,high,RFID,504.42
2,2,1,2,id_1031,high,paper,38.129999999999995
2,2,1,2,id_1032,high,RFID,585.37
2,2,1,2,id_1033,high,paper,50.260000000000005
2,2,1,2,id_1034,high,paper,39.92
2,2,1,2,id_1035,high,RFID,501.78000000000003
2,2,1,2,id_1036,high,RFID,511.88
2,2,1,2,id_1037,high,paper,48.83
2,2,1,2,id_1038,high,RFID,581.3199999999999
2,2,1,2,id_1039,high,RFID,584.73
2,2,1,2,id_104,low,RFID,6.34
2,2,1,2,id_1040,high,RFID,593.7
2,2,1,2,id_1041,high,RFID,509.47999999999996
2,2,1,2,id_1042,high,RFID,517.55
2,2,1,2,id_1043,high,RFID,596.79
2,2,1,2,id_1044,high,paper,35.67
2,2,1,2,id_1045,high,RFID,605.9
2,2,1,2,id_1046,high,RFID,517.29
2,2,1,2,id_1047,high,RFID,525.97
2,2,1,2,id_1048,high,paper,31.509999999999998
2,2,1,2,id_1049,high,paper,36.61
2,2,1,2,id_105,low,paper,14.41
2,2,1,2,id_1050,high,RFID,598.9300000000001
2,2,1,2,id_1051,high,RFID,607.27
2,2,1,2,id_1052,high,paper,26.85
2,2,1,2,id_1053,high,paper,41.99
2,2,1,2,id_1054,high,RFID,511.98
2,2,1,2,id_1055,high,RFID,520.6800000000001
2,2,1,2,id_1056,high,paper,36.44
2,2,1,2,id_1057,high,RFID,604.03
2,2,1,2,id_1058,high,paper,42.61
2,2,1,2,id_1059,high,RFID,511.57
2,2,1,2,id_106,low,RFID,9.96
2,2,1,2,id_1060,high,RFID,603.88
2,2,1,2,id_1061,high,RFID,514.33
2,2,1,2,id_1062,high,paper,31.490000000000002
2,2,1,2,id_1063,high,RFID,609.0699999999999
2,2,1,2,id_1064,high,paper,41.97
2,2,1,2,id_1065,high,paper,39.86
2,2,1,2,id_1066,high,paper,47.54
2,2,1,2,id_1067,high,paper,46.3
2,2,1,2,id_1068,high,RFID,603.13
2,2,1,2,id_1069,high,RFID,507.76
2,2,1,2,id_107,low,RFID,9.61
2,2,1,2,id_1070,high,RFID,609.67
2,2,1,2,id_1071,high,paper,51.77
2,2,1,2,id_1072,high,paper,48.1
2,2,1,2,id_1073,high,RFID,608.79
2,2,1,2,id_1074,high,RFID,501.15000000000003
2,2,1,2,id_1075,high,RFID,508.17
2,2,1,2,id_1076,high,RFID,609.6500000000001
2,2,1,2,id_1077,high,RFID,613.1899999999999
2,2,1,2,id_1078,high,paper,46.04
2,2,1,2,id_1079,high,paper,40.56
2,2,1,2,id_108,low,paper,16.15
2,2,1,2,id_1080,high,RFID,500.96999999999997
2,2,1,2,id_1081,high,paper,54.74
2,2,1,2,id_1082,high,paper,54.830000000000005
2,2,1,2,id_1083,high,RFID,503.59000000000003
2,2,1,2,id_1084,high,RFID,610.79
2,2,1,2,id_1085,high,RFID,620.92
2,2,1,2,id_1086,high,paper,54.949999999999996
2,2,1,2,id_1087,high,paper,59.94
2,2,1,2,id_1088,high,paper,74.92
2,2,1,2,id_1089,high,RFID,497.79
2,2,1,2,id_109,low,RFID,5.09
2,2,1,2,id_1090,high,RFID,618.43
2,2,1,2,id_1091,high,RFID,501.13
2,2,1,2,id_1092,high,RFID,505.44
2,2,1,2,id_1093,high,RFID,624.1400000000001
2,2,1,2,id_1094,high,RFID,632.6800000000001
2,2,1,2,id_1095,high,RFID,509.65000000000003
2,2,1,2,id_1096,high,RFID,516.71
2,2,1,2,id_1097,high,paper,55.910000000000004
2,2,1,2,id_1098,high,RFID,631.61
2,2,1,2,id_1099,high,paper,66.07
2,2,1,2,id_11,low,RFID,6.08
2,2,1,2,id_110,low,paper,16.41
2,2,1,2,id_1100,high,RFID,522.53
2,2,1,2,id_1101,high,RFID,635.88
2,2,1,2,id_1102,high,RFID,530.61
2,2,1,2,id_1103,high,RFID,640.97
2,2,1,2,id_1104,high,paper,60.6
2,2,1,2,id_1105,high,RFID,533.49
2,2,1,2,id_1106,high,paper,70.66
2,2,1,2,id_1107,high,RFID,543.21
2,2,1,2,id_1108,high,paper,81.8
2,2,1,2,id_1109,high,RFID,649.6500000000001
2,2,1,2,id_111,low,RFID,11.49
2,2,1,2,id_1110,high,paper,72.94
2,2,1,2,id_1111,high,paper,81.47999999999999
2,2,1,2,id_1112,high,RFID,543.75
2,2,1,2,id_1113,high,RFID,652.48
2,2,1,2,id_1114,high,paper,83.86
2,2,1,2,id_1115,high,RFID,544.82
